,model,metric,fold,value
106,LogisticRegression,relative_accuracy,6,0.9411764705882353
107,LogisticRegression,relative_accuracy,7,1.0
108,LogisticRegression,relative_accuracy,8,1.0
109,LogisticRegression,relative_accuracy,9,0.875
110,LogisticRegression,relative_recall,0,0.8823529411764706
111,LogisticRegression,relative_recall,1,0.9333333333333333
112,LogisticRegression,relative_recall,2,1.0
113,LogisticRegression,relative_recall,3,0.8888888888888888
114,LogisticRegression,relative_recall,4,1.0
115,LogisticRegression,relative_recall,5,0.9285714285714286
116,LogisticRegression,relative_recall,6,0.9285714285714286
117,LogisticRegression,relative_recall,7,1.0
118,LogisticRegression,relative_recall,8,1.0
119,LogisticRegression,relative_recall,9,0.8181818181818182
120,SupportVector,accuracy,0,0.6753246753246753
121,SupportVector,accuracy,1,0.7402597402597403
122,SupportVector,accuracy,2,0.7532467532467533
123,SupportVector,accuracy,3,0.8961038961038961
124,SupportVector,accuracy,4,0.8051948051948052
125,SupportVector,accuracy,5,0.8311688311688312
126,SupportVector,accuracy,6,0.7532467532467533
127,SupportVector,accuracy,7,0.7662337662337663
128,SupportVector,accuracy,8,0.7368421052631579
129,SupportVector,accuracy,9,0.6578947368421053
130,SupportVector,precision,0,0.5294117647058824
131,SupportVector,precision,1,0.6206896551724138
132,SupportVector,precision,2,0.6428571428571429
133,SupportVector,precision,3,0.88
134,SupportVector,precision,4,0.7
135,SupportVector,precision,5,0.75
136,SupportVector,precision,6,0.6666666666666666
137,SupportVector,precision,7,0.6451612903225806
138,SupportVector,precision,8,0.5714285714285714
139,SupportVector,precision,9,0.5
140,SupportVector,recall,0,0.6666666666666666
141,SupportVector,recall,1,0.6666666666666666
142,SupportVector,recall,2,0.6666666666666666
143,SupportVector,recall,3,0.8148148148148148
144,SupportVector,recall,4,0.7777777777777778
145,SupportVector,recall,5,0.7777777777777778
146,SupportVector,recall,6,0.5925925925925926
147,SupportVector,recall,7,0.7407407407407407
148,SupportVector,recall,8,0.9230769230769231
149,SupportVector,recall,9,0.5384615384615384
150,SupportVector,f1,0,0.5901639344262295
151,SupportVector,f1,1,0.6428571428571429
152,SupportVector,f1,2,0.6545454545454545
153,SupportVector,f1,3,0.8461538461538461
154,SupportVector,f1,4,0.7368421052631579
155,SupportVector,f1,5,0.7636363636363637
156,SupportVector,f1,6,0.6274509803921569
157,SupportVector,f1,7,0.6896551724137931
158,SupportVector,f1,8,0.7058823529411765
159,SupportVector,f1,9,0.5185185185185185
160,SupportVector,balanced_accuracy,0,0.6733333333333333
161,SupportVector,balanced_accuracy,1,0.7233333333333334
